V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,V013,V014,V015,V016,V017,V018,V019,V020,V021,V022,V023,V024,V025,V026,V027,V028,V029,V030,V031,V032,V033,V034,V035,V036,V037,V038,V039,V040,V041,V042,V043,V044,V045,V046,V047,V048,V049,V050,V051,V052,V053,V054,V055,V056,V057,V058,V059,V060,V061,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096
Utah,11.75,(3) Fair: 25-49.9% of total,6,(3) Fair: 25-49.9% of total,5.75,(3) Fair: 25-49.9% of total,1.5,5,0,3.5,0,0,1.75,1.5,2.5,0,2,0,0,0,2.5,0,1.5,0,0,1.75,0.037,80000,(4) West,1,(0) No did not offer paid partner leave (irrespective of narrow/broad partner definition),0,(0) No did not offer paid child leave (irrespective of narrow/broad child definition),0,(0) Uncertain or unavailable law,0,0,0.5,0,0,0,1,1,0,0,0.5,(0) No law,1,1,0,0,0.5,(0) No law,(0) No state RFRA (N/A),(0) No for no targeted exemption,0,(0) No law,(0) No law,0,0,0,(0) No law,(0) No law,0.5,0.5,(0) No policy,(0) No policy,0,1,0,0.5,(0) No policy,(0) No policy,0,1,(0) No state law prohibiting SO discrimination in insurance,0,0,(0) No state law prohibiting GI discrimination in insurance,(0) State does not prohibit exclusions of trans-related care in health insurance,(0) No explicit policy,0,0,0,(1) State hate crime law enumerates SO,-1,(0) State does not prohibit use of 'gay panic defense',1,-1,(0) If state does not prohibit use of 'trans panic defense',0.5,0.25,0.5,0.5,(0) Requirement of public announcement of name change is unclear or under individual court's discretion
Vermont,34,(5) High: 75-100% of total,16.5,(5) High: 75-100% of total,17.5,(5) High: 75-100% of total,6.5,9,0,7.5,6,2,3,5.5,4.5,0,3.5,2,1,1,4.5,0,4,4,1,3,0.052,26000,(2) Northeast,1,(0) No did not offer paid partner leave (irrespective of narrow/broad partner definition),0.25,(0) No did not offer paid child leave (irrespective of narrow/broad child definition),0.25,(1) Unmarried couples permitted to adopt/file,0.5,0.5,1,1,0.5,0.5,1,1,1,1,0.5,(0) No law,1,1,1,1,0.5,(0) No law,(0) No state RFRA (N/A),(0) No for no targeted exemption,0,(0) No law,(0) No law,0,0,0,(0) No law,(0) No law,1,1,(0) No policy,(0) No policy,1,0.5,1,1,(0) No policy,(0) No policy,1,1,(1) State law prohibits private insurers from discriminating based on SO,0.5,0.5,(1) State law prohibits private insurers from discriminating based on GI,(1) State prohibits exclusions of trans-related care in health insurance,(1) State Medicaid policy explicitly includes trans coverage,0,0.5,0.5,(1) State hate crime law enumerates SO,0,(0) State does not prohibit use of 'gay panic defense',1,0,(0) If state does not prohibit use of 'trans panic defense',0.5,1,0,0.5,(1) Does not require public announcement of name change
Virginia,0.25,(2) Low: 0-24.9% of total possible points,0.5,(2) Low: 0-24.9% of total possible sexual orientation points,-0.25,(1) Negative: Less than zero,1.5,1,-3,0,1,-1,0.75,1.5,0.5,-1.5,0,0.5,-0.5,0,0.5,-1.5,0,0.5,-0.5,0.75,0.039,257000,(3) South,1,(0) No did not offer paid partner leave (irrespective of narrow/broad partner definition),0,(0) No did not offer paid child leave (irrespective of narrow/broad child definition),0,(0) Uncertain or unavailable law,0,0,0.5,0,0,0,0,0,0,0,0.5,(0) No law,0,0,0,0,0.5,(0) No law,(1) State RFRA via statute,"(1) Yes for any targeted religious exemption in child welfare, marriage service or solemnization, or healthcare",-0.5,(-1) Law exists,(0) No law,0,0,-0.5,(-1) Law exists,(0) No law,0,0,(0) No policy,(0) No policy,0,0,0,0,(0) No policy,(0) No policy,0,0,(0) No state law prohibiting SO discrimination in insurance,0.5,0,(0) No state law prohibiting GI discrimination in insurance,(0) State does not prohibit exclusions of trans-related care in health insurance,(0) No explicit policy,0,0.5,0,(0) No state hate crime law or it does not enumerate SO,-0.5,(0) State does not prohibit use of 'gay panic defense',0,-0.5,(0) If state does not prohibit use of 'trans panic defense',0,0.75,0,-1,(1) Does not require public announcement of name change
Washington,31,(5) High: 75-100% of total,13.75,(4) Medium: 50-74.9% of total,17.25,(5) High: 75-100% of total,5.25,9,0,7.5,5.5,0,3.75,4.25,4.5,0,3.5,1.5,0,1,4.5,0,4,4,0,3.75,0.052,3.00E+05,(4) West,1,(1) Yes offered paid partner leave,0.25,(1) Yes offered paid child leave,0.5,(0) Uncertain or unavailable law,0.5,0.5,1,0.5,0.5,0.5,1,1,1,1,0.5,(0) No law,1,1,1,1,0.5,(0) No law,(0) No state RFRA (N/A),(0) No for no targeted exemption,0,(0) No law,(0) No law,0,0,0,(0) No law,(0) No law,1,1,(0) No policy,(0) No policy,1,0.5,1,1,(0) No policy,(0) No policy,1,1,(1) State law prohibits private insurers from discriminating based on SO,0.5,0,(1) State law prohibits private insurers from discriminating based on GI,(1) State prohibits exclusions of trans-related care in health insurance,(1) State Medicaid policy explicitly includes trans coverage,0.5,0.5,0,(1) State hate crime law enumerates SO,-1,(0) State does not prohibit use of 'gay panic defense',1,-1,(0) If state does not prohibit use of 'trans panic defense',0.5,0.75,0.5,1,(1) Does not require public announcement of name change
West Virginia,5.5,(2) Low: 0-24.9% of total possible points,5,(3) Fair: 25-49.9% of total,0.5,(2) Low: 0-24.9% of total possible gender identity points,4,0,0,2.5,-1,0,0,3,0,0,1.5,0.5,0,1,0,0,1,-1.5,0,0,0.04,58000,(3) South,1,(0) No did not offer paid partner leave (irrespective of narrow/broad partner definition),0,(0) No did not offer paid child leave (irrespective of narrow/broad child definition),0,(0) Uncertain or unavailable law,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,(0) No law,0,0,0,0,0,(0) No law,(0) No state RFRA (N/A),(0) No for no targeted exemption,0,(0) No law,(0) No law,0,0,0,(0) No law,(0) No law,0,0.5,(0) No policy,(0) No policy,0,1,0,0.5,(0) No policy,(0) No policy,0,0.5,(0) No state law prohibiting SO discrimination in insurance,0,0.5,(0) No state law prohibiting GI discrimination in insurance,(0) State does not prohibit exclusions of trans-related care in health insurance,(-1) State Medicaid policy explicitly excludes trans coverage,-0.5,0,0,(0) No state hate crime law or it does not enumerate SO,0,(0) State does not prohibit use of 'gay panic defense',0,0,(0) If state does not prohibit use of 'trans panic defense',0,0.5,0,0.5,(-1) Requires public announcement of name change
Wisconsin,12,(3) Fair: 25-49.9% of total,9.5,(4) Medium: 50-74.9% of total,2.5,(2) Low: 0-24.9% of total possible gender identity points,2.75,4.5,0,1.5,3.5,0.5,-0.75,2.75,3.5,0,1.5,1,0.75,0,1,0,0,2.5,-0.25,-0.75,0.038,171000,(1) Midwest,1,(0) No did not offer paid partner leave (irrespective of narrow/broad partner definition),0.5,(0) No did not offer paid child leave (irrespective of narrow/broad child definition),0.25,(0) Uncertain or unavailable law,0,0,0.5,0.5,0,0,1,1,1,0,0.5,(0) No law,0.25,0.25,0,0,0.5,(0) No law,(0) No state RFRA (N/A),(0) No for no targeted exemption,0,(0) No law,(0) No law,0,0,0,(0) No law,(0) No law,1,0,(0) No policy,(0) No policy,0,0.5,0,0,(0) No policy,(0) No policy,0,0,(0) No state law prohibiting SO discrimination in insurance,0.5,0.5,(0) No state law prohibiting GI discrimination in insurance,(0) State does not prohibit exclusions of trans-related care in health insurance,(1) State Medicaid policy explicitly includes trans coverage,0.5,0.5,0.5,(1) State hate crime law enumerates SO,-0.25,(0) State does not prohibit use of 'gay panic defense',0,-0.25,(0) If state does not prohibit use of 'trans panic defense',0,0.25,0,-1,(0) Requirement of public announcement of name change is unclear or under individual court's discretion
Wyoming,1.75,(2) Low: 0-24.9% of total possible points,2.5,(2) Low: 0-24.9% of total possible sexual orientation points,-0.75,(1) Negative: Less than zero,2,0,0,0.5,-1,0,0.25,2,0,0,0.5,0,0,0,0,0,0,-1,0,0.25,0.033,15000,(4) West,1,(0) No did not offer paid partner leave (irrespective of narrow/broad partner definition),0,(0) No did not offer paid child leave (irrespective of narrow/broad child definition),0,(0) Uncertain or unavailable law,0,0,1,0,0,0,0,0,0,0,0,(0) No law,0,0,0,0,0,(0) No law,(0) No state RFRA (N/A),(0) No for no targeted exemption,0,(0) No law,(0) No law,0,0,0,(0) No law,(0) No law,0,0,(0) No policy,(0) No policy,0,0.5,0,0,(0) No policy,(0) No policy,0,0,(0) No state law prohibiting SO discrimination in insurance,0,0,(0) No state law prohibiting GI discrimination in insurance,(0) State does not prohibit exclusions of trans-related care in health insurance,(-1) State Medicaid policy explicitly excludes trans coverage,0,0,0,(0) No state hate crime law or it does not enumerate SO,0,(0) State does not prohibit use of 'gay panic defense',0,0,(0) If state does not prohibit use of 'trans panic defense',0,0.75,0,0.5,(-1) Requires public announcement of name change
American Samoa,0.5,(2) Low: 0-24.9% of total possible points,1.5,(2) Low: 0-24.9% of total possible sexual orientation points,-1,(1) Negative: Less than zero,1.5,0,0,0,0,0,-1,1.5,0,0,0,0,0,0,0,0,0,0,0,-1,-99,-99,(0) N/A,1,(0) No did not offer paid partner leave (irrespective of narrow/broad partner definition),0,(0) No did not offer paid child leave (irrespective of narrow/broad child definition),0,(0) Uncertain or unavailable law,0,0,0.5,0,0,0,0,0,0,0,0,(0) No law,0,0,0,0,0,(0) No law,(0) No state RFRA (N/A),(0) No for no targeted exemption,0,(0) No law,(0) No law,0,0,0,(0) No law,(0) No law,0,0,(0) No policy,(0) No policy,0,0,0,0,(0) No policy,(0) No policy,0,0,(0) No state law prohibiting SO discrimination in insurance,0,0,(0) No state law prohibiting GI discrimination in insurance,(0) State does not prohibit exclusions of trans-related care in health insurance,(0) No explicit policy,0,0,0,(0) No state hate crime law or it does not enumerate SO,0,(0) State does not prohibit use of 'gay panic defense',0,0,(0) If state does not prohibit use of 'trans panic defense',0,0,0,0,(-1) Requires public announcement of name change
Guam,5.75,(2) Low: 0-24.9% of total possible points,6.5,(3) Fair: 25-49.9% of total,-0.75,(1) Negative: Less than zero,3.75,3,0,1,1.5,-0.5,-3,3.25,1.5,0,1,1,-0.25,0.5,1.5,0,0,0.5,-0.25,-3,-99,-99,(0) N/A,1,(0) No did not offer paid partner leave (irrespective of narrow/broad partner definition),0.25,(0) No did not offer paid child leave (irrespective of narrow/broad child definition),0.5,(0) Uncertain or unavailable law,0.5,0,0.5,0.5,0.5,0,1,0,0,0,0.5,(0) No law,1,0,0,0,0.5,(0) No law,(0) No state RFRA (N/A),(0) No for no targeted exemption,0,(0) No law,(0) No law,0,0,0,(0) No law,(0) No law,0,1,(0) No policy,(0) No policy,0,0,0,0,(0) No policy,(0) No policy,0,0,(0) No state law prohibiting SO discrimination in insurance,0.5,0.5,(0) No state law prohibiting GI discrimination in insurance,(0) State does not prohibit exclusions of trans-related care in health insurance,(0) No explicit policy,0,0.5,0,(0) No state hate crime law or it does not enumerate SO,-0.25,(0) State does not prohibit use of 'gay panic defense',0,-0.25,(0) If state does not prohibit use of 'trans panic defense',0,-1,0,-1,(-1) Requires public announcement of name change
Northern Mariana Islands,0.5,(2) Low: 0-24.9% of total possible points,3,(2) Low: 0-24.9% of total possible sexual orientation points,-2.5,(1) Negative: Less than zero,1.5,0.5,0,1,0.5,0,-3,1.5,0.5,0,0.5,0.5,0,0,0,0,0.5,0,0,-3,-99,-99,(0) N/A,1,(0) No did not offer paid partner leave (irrespective of narrow/broad partner definition),0,(0) No did not offer paid child leave (irrespective of narrow/broad child definition),0,(0) Uncertain or unavailable law,0,0,0.5,0,0,0,0,0,0,0,0.5,(0) No law,0,0,0,0,0,(0) No law,(0) No state RFRA (N/A),(0) No for no targeted exemption,0,(0) No law,(0) No law,0,0,0,(0) No law,(0) No law,0,0.5,(0) No policy,(0) No policy,0,0,0,0.5,(0) No policy,(0) No policy,0,0,(0) No state law prohibiting SO discrimination in insurance,0,0.5,(0) No state law prohibiting GI discrimination in insurance,(0) State does not prohibit exclusions of trans-related care in health insurance,(0) No explicit policy,0,0,0,(0) No state hate crime law or it does not enumerate SO,0,(0) State does not prohibit use of 'gay panic defense',0,0,(0) If state does not prohibit use of 'trans panic defense',0,-1,0,-1,(-1) Requires public announcement of name change
Puerto Rico,19.5,(4) Medium: 50-74.9% of total,9.75,(4) Medium: 50-74.9% of total,9.75,(3) Fair: 25-49.9% of total,3.25,3,0,5,3.5,2,2.75,3.25,1.5,0,2.5,1.5,1,0,1.5,0,2.5,2,1,2.75,-99,-99,(0) N/A,1,(0) No did not offer paid partner leave (irrespective of narrow/broad partner definition),0,(1) Yes offered paid child leave,0.25,(0) Uncertain or unavailable law,0.5,0.5,0.5,0.5,0,0,1,0,0,0,0.5,(0) No law,1,0,0,0,0.5,(0) No law,(0) No state RFRA (N/A),(0) No for no targeted exemption,0,(0) No law,(0) No law,0,0,0,(0) No law,(0) No law,1,1,(0) No policy,(0) No policy,0.5,0,1,1,(0) No policy,(0) No policy,0.5,0,(1) State law prohibits private insurers from discriminating based on SO,0,0.5,(1) State law prohibits private insurers from discriminating based on GI,(0) State does not prohibit exclusions of trans-related care in health insurance,(1) State Medicaid policy explicitly includes trans coverage,0,0,0,(1) State hate crime law enumerates SO,0,(0) State does not prohibit use of 'gay panic defense',1,0,(0) If state does not prohibit use of 'trans panic defense',0,0.75,0,1,(1) Does not require public announcement of name change
Virgin Islands,4.5,(2) Low: 0-24.9% of total possible points,4.5,(2) Low: 0-24.9% of total possible sexual orientation points,0,(2) Low: 0-24.9% of total possible gender identity points,2.5,1,0,1,0,1,-1,2.5,0.5,0,1,0,0.5,0,0.5,0,0,0,0.5,-1,-99,-99,(0) N/A,1,(0) No did not offer paid partner leave (irrespective of narrow/broad partner definition),0,(0) No did not offer paid child leave (irrespective of narrow/broad child definition),0,(1) Unmarried couples permitted to adopt/file,0,0,0.5,0,0,0,0,0,0,0,0.5,(0) No law,0,0,0,0,0.5,(0) No law,(0) No state RFRA (N/A),(0) No for no targeted exemption,0,(0) No law,(0) No law,0,0,0,(0) No law,(0) No law,0,1,(0) No policy,(0) No policy,0,0,0,0,(0) No policy,(0) No policy,0,0,(0) No state law prohibiting SO discrimination in insurance,0,0,(0) No state law prohibiting GI discrimination in insurance,(0) State does not prohibit exclusions of trans-related care in health insurance,(0) No explicit policy,0,0,0,(1) State hate crime law enumerates SO,-0.5,(0) State does not prohibit use of 'gay panic defense',1,-0.5,(0) If state does not prohibit use of 'trans panic defense',0,0,0,0,(-1) Requires public announcement of name change
